Uygulamaya Giriş Öncesi;Açıklama:;Çözüm:
Kullanıcı Bulunamadı.;Sistemde kayıtlı telefon numaranızın veya mail adresinizin bulunmaması veya güncel olmamasından kaynaklanmaktadır.;Konuyla ilgili insan kaynaklarınızla görüşmeniz gerekmektedir. Bilgilerinizin güncel olduğundan eminseniz sorunun devam etmesi durumunda lütfen Passgage ekibiyle iletişime geçiniz.
Şifre yenileme yaparken sms gelmiyor.;;Öncelikle smslerin spam klasörüne düşmediğinden emin olunuz. Eğer konuyla ilgili sorun devam ediyorsa Passgage ekibiyle iletişime geçiniz.
Şifre yenilemesi yaparken maile kod gelmiyor.;;Maillerin spam klasörüne düşmediğinden emin olunuz. Eğer konuyla ilgili sorun devam ediyorsa Passgage ekibiyle iletişime geçiniz.
Konum Doğrulanamadı hatası almaktayım.;Telefonunuzun konum bilgilerinin, okutmayı denediğiniz QR kod içerisine tanımlanmış olan konumun ve mesafenin eşleşmemesinden kaynaklanmaktadır.;"Şubede bu sorunu yaşayan çok fazla kişi yoksa lütfen şu adımları izleyin; interneti değiştirmeyi veya kapatıp açmayı, uçak moduna alıp tekrar normal moda almayı, Wifi özelliğini açmayı (herhangi bir wifi ağına bağlanmanız gerekmemektedir.) deneyin."
Geçersiz Qr hatası almaktayım.;Passgage harici bir QR'a okutma işlemi yapıldığında veya ilgili şirkete henüz tanımlanmamış bir Passgage QR'ı okutmaya çalışıldığında karşılaşılmaktadır.;Okutmayı denediğiniz QR'ın bir Passgage QR'ı olduğundan emin olunuz. Eğer sorun hala devam ediyorsa lütfen yetkili biriminiz ile iletişime geçiniz.
Buraya Girmeye Yetkiniz Yoktur uyarısı almaktayım.;Okutmak istediğiniz QR için okutma yetkisi bulunmamasından kaynaklanır.;Konuyla ilgili yetkili biriminiz ile iletişime geçmeniz gerekmektedir.
Qr okuturken titreme ve/veya sonuç alamama.;Uygulamaya, konum erişimine izin verilmemesinden kaynaklanır.;Passgage uygulamasını kullanırken konum izni vermeniz gerekmektedir. Telefonunuzda Ayarlar>Uygulamalar>Passgage>Konum kısmından ''Konum bilgilerine erişim izni ver'' seçeneğinin aktif olup olmadığını kontrol ediniz.
Vardiyamı göremiyorum.;;Onaylanmamış vardiyalar çalışanlar tarafından görüntülenememektedir. Çalışanların üzerine atanan vardiyaları görüntüleyebilmesi için planlanan vardiyaların onaylanması gerekmektedir.
Personellerimin bir kısmını ya da hiçbirini göremiyorum.;;Vardiya modülünde yalnızca kendinize bağlı olan çalışanları ve yetkili olduğunuz şubelerdeki çalışanları görüntüleyebilirsiniz. Bu konu ile ilgili lütfen yetkili biriminiz ile iletişime geçiniz.
Vardiya oluşturamıyorum ya da onaylayamıyorum.;;Vardiya onaylama ve oluşturma işlemleri yalnızca yetkili kullanıcılar tarafından yapılabilmektedir. Bu konu ile ilgili lütfen yetkili biriminiz ile iletişime geçiniz.
Aradığım vardiyayı bulamıyorum.;;Vardiya tanımlamaları yetkili biriminiz tarafından yapılmaktadır. Lütfen bu konu için yetkili biriminize başvurunuz.
Check-in yapabileceğim bir yer göremiyorum.;;Bulunduğunuz bölgede check-in yapabileceğiniz bir konum bulunmamaktadır.
Paylaşımımı göremiyorum.;;Paylaşımlar ilgili onay sürecinden geçtikten sonra görüntülenmektedir. Lütfen paylaşımınızın onaylanmasını bekleyiniz.
Paylaşım yapamıyorum.;;Paylaşım yapma yetkiniz bulunmamaktadır. Konuyla ilgili yetkili biriminiz ile iletişime geçebilirsiniz.
